Precip,Air_Temp_Max,Air_Temp_Min,DayOfWeek,Operating_Airline,Dest,DestState,DepDelay,DepDel15,DepTimeBlk,Distance,DistanceGroup,DepDelayBinary
0.01,68,52,6,UA,IAH,TX,-1.0,0.0,1600-1659,1635.0,7,0
0.0,73,54,2,AS,LAX,CA,13.0,0.0,1000-1059,337.0,2,1
0.0,73,55,5,AS,HNL,HI,1.0,0.0,0700-0759,2398.0,10,1
0.12,57,45,5,AA,PHX,AZ,-10.0,0.0,1800-1859,651.0,3,0
0.14,61,48,7,UA,LAX,CA,-2.0,0.0,0800-0859,337.0,2,0
0.16,56,44,7,UA,LAS,NV,-10.0,0.0,1100-1159,414.0,2,0
0.17,61,48,3,OO,SNA,CA,-8.0,0.0,0600-0659,372.0,2,0
0.0,72,54,1,UA,LAX,CA,-5.0,0.0,1300-1359,337.0,2,0
0.04,65,50,5,UA,IAH,TX,-5.0,0.0,0900-0959,1635.0,7,0
0.0,67,50,3,UA,MCO,FL,-2.0,0.0,2200-2259,2446.0,10,0
0.0,72,56,2,F9,LAS,NV,-9.0,0.0,1700-1759,414.0,2,0
0.0,71,54,7,WN,LAX,CA,66.0,1.0,2100-2159,337.0,2,1
0.2,56,44,6,UA,LAX,CA,-3.0,0.0,1300-1359,337.0,2,0
0.0,73,56,1,AA,PHX,AZ,-11.0,0.0,0600-0659,651.0,3,0
0.04,65,50,6,OO,SBP,CA,-5.0,0.0,1600-1659,190.0,1,0
0.11,65,48,2,AS,BOS,MA,-6.0,0.0,0900-0959,2704.0,11,0
0.12,57,45,5,OO,ONT,CA,-1.0,0.0,1300-1359,363.0,2,0
0.11,57,44,1,AA,JFK,NY,-13.0,0.0,1300-1359,2586.0,11,0
0.02,67,50,4,B6,BOS,MA,-3.0,0.0,2100-2159,2704.0,11,0
0.04,67,50,4,OO,SAN,CA,-2.0,0.0,0800-0859,447.0,2,0
0.0,72,53,1,F9,DEN,CO,59.0,1.0,0600-0659,967.0,4,1
0.0,67,49,2,UA,HNL,HI,222.0,1.0,1600-1659,2398.0,10,1
0.01,68,52,1,OO,LAX,CA,-5.0,0.0,1500-1559,337.0,2,0
0.01,67,51,6,OO,LAX,CA,142.0,1.0,1500-1559,337.0,2,1
0.08,57,44,1,UA,PDX,OR,-6.0,0.0,2200-2259,550.0,3,0
0.0,72,56,7,F9,DEN,CO,-4.0,0.0,0600-0659,967.0,4,0
0.04,64,49,1,OO,SNA,CA,-7.0,0.0,1300-1359,372.0,2,0
0.0,72,54,7,UA,PHX,AZ,-4.0,0.0,1700-1759,651.0,3,0
0.0,72,56,7,UA,ORD,IL,3.0,0.0,1000-1059,1846.0,8,1
0.1,62,48,5,UA,OGG,HI,-2.0,0.0,0900-0959,2338.0,10,0
0.0,70,53,2,OO,MFR,OR,-5.0,0.0,1600-1659,329.0,2,0
0.07,63,48,5,DL,JFK,NY,-1.0,0.0,0700-0759,2586.0,11,0
0.04,63,50,7,WN,LAS,NV,7.0,0.0,1900-1959,414.0,2,1
0.2,56,44,6,UA,ORD,IL,21.0,1.0,1300-1359,1846.0,8,1
0.02,68,52,6,OO,RDD,CA,-2.0,0.0,1800-1859,199.0,1,0
0.0,72,56,4,UA,EWR,NJ,22.0,1.0,1000-1059,2565.0,11,1
0.04,64,49,1,F9,DEN,CO,-4.0,0.0,0001-0559,967.0,4,0
0.11,57,44,1,UA,IAD,VA,3.0,0.0,2200-2259,2419.0,10,1
